"Model","TrainCount","TrialIndex","Seed","HighTest_MAPE_Mean","LowHoldout_MAPE_Mean","IsFeasible","Locked","Success"
"RD_GEP","20","1","9000","0.930167630247794","0.88735483387013","1","0","1"
"RD_GEP","20","2","4000","9669954323.73767","0.883402276082143","1","0","1"
"RD_GEP","20","3","4000","1.05432179122143","1.26623326775633","1","0","1"
"RD_GEP","20","4","2500","0.901892486432306","0.608704242570925","1","0","1"
"RD_GEP","20","5","4000","1.6790863744348","1.29367314086072","1","0","1"
"RD_GEP","20","6","4000","9669954323.53123","1.3976520218941","1","0","1"
"RD_GEP","20","7","2500","0.834953442575269","1.12909227789831","1","0","1"
"RD_GEP","20","8","6500","0.880204508977913","0.61569824836063","1","0","1"
"RD_GEP","30","1","9000","0.846710153657708","0.488805987157666","1","0","1"
"RD_GEP","30","2","4000","0.651318661386656","0.546388421957433","1","0","1"
"RD_GEP","30","3","777","0.730710658726467","0.540099290451612","1","0","1"
"RD_GEP","30","4","9000","1.51061548915308","1.07077424381021","0","0","1"
"RD_GEP","30","5","6500","0.684667616281792","0.430386713796083","1","0","1"
"RD_GEP","30","6","2500","0.717923257527716","0.642417898816256","1","0","1"
"RD_GEP","30","7","9000","0.58938342921135","0.38833708105005","1","0","1"
"RD_GEP","30","8","4000","0.632450001229066","0.519208337834884","1","0","1"
"BaseGEP","20","1","1840","1.26021007246883","1.4326183193132","1","0","1"
"BaseGEP","20","2","1940","0.97026188334673","1.28019489318422","1","0","1"
"BaseGEP","20","3","2040","1.18973045603892","0.542537661881209","1","0","1"
"BaseGEP","20","4","2140","1.03599557103324","0.926194964153165","1","0","1"
"BaseGEP","20","5","2240","0.941599772103199","0.625715946065917","1","0","1"
"BaseGEP","20","6","2340","1.48369164397667","0.691185361268632","1","0","1"
"BaseGEP","20","7","2440","0.905735960339611","0.439642352175643","1","0","1"
"BaseGEP","20","8","2540","0.800352597568391","0.487223697586574","1","0","1"
"BaseGEP","30","1","2210","1.53316287563001","0.657467435501945","0","0","1"
"BaseGEP","30","2","2310","1.31298608147751","0.525991040049033","0","0","1"
"BaseGEP","30","3","2410","1.14627333959678","0.438259624416324","0","0","1"
"BaseGEP","30","4","2510","1.00419834564211","0.486462339570772","0","0","1"
"BaseGEP","30","5","2610","1.07465789653784","0.438011473322588","0","0","1"
"BaseGEP","30","6","2710","0.98485963295457","0.491357326091986","0","0","1"
"BaseGEP","30","7","2810","0.891253453632121","0.474826163920913","1","0","1"
"BaseGEP","30","8","2910","0.873599514579601","0.299241267872308","1","0","1"
"Kriging","20","2","1940","7.18686079448083","3.61288191954075","1","0","1"
"Kriging","30","5","2610","7.04682993908066","2.25888930471005","1","0","1"
"MLP","20","7","2440","8.69754324568953","4.12648120712834","1","0","1"
"MLP","30","1","2210","1.23593077046585","2.883565943044","1","0","1"
"SVR_RBF","20","2","111","5.94755641668772","3.49603897748336","1","0","1"
"SVR_RBF","30","4","111","5.62720454157644","1.52818668433404","1","0","1"
