Model,TrainCount,TrialIndex,Seed,BaseSplitSeed,BaseModelSeed,SeedJitter,ParamsJSON,HighTest_MAPE_Mean,HighTest_MAPE_Std,HighTest_MAPE_Median,LowHoldout_MAPE_Mean,Train_MAPE_Mean,SequenceIndex,IsFeasible,Locked,SelectionReason,PreviousLockedHighTest_MAPE_Mean,ElapsedSeconds,ErrorMessage,Success
RD_GEP,20,1,9000,117,531,3161,"{""seed"":9000,""popSize"":70,""nGenerations"":45,""ridgeLambda"":0.03,""wFrontier"":1,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8}",0.930167630247794,0.492122402867384,0.886440331035586,0.88735483387013,NaN,1,1,1,middle_quantile_selected,Inf,28.2555563,NaN,1
RD_GEP,30,5,6500,185,655,4095,"{""seed"":6500,""popSize"":70,""nGenerations"":45,""ridgeLambda"":0.03,""wFrontier"":1.2,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8}",0.684667616281792,0.246483839160631,0.640213506000922,0.430386713796083,NaN,2,1,1,middle_quantile_selected,0.930167630247794,29.6698453,NaN,1
BaseGEP,20,2,1940,134,562,3262,"{""popSize"":84,""nGenerations"":50,""numGenes"":3,""headLen"":8,""ridgeLambda"":0.05}",0.97026188334673,NaN,0.922607791259142,1.28019489318422,NaN,1,1,1,middle_quantile_selected,Inf,19.338227,NaN,1
BaseGEP,30,8,2910,236,748,4398,"{""popSize"":108,""nGenerations"":50,""numGenes"":5,""headLen"":12,""ridgeLambda"":0.15}",0.873599514579601,NaN,0.842621738005971,0.299241267872308,NaN,2,1,1,middle_quantile_selected,0.97026188334673,35.2631666,NaN,1
Kriging,20,2,1940,134,562,3262,"{""seedOnly"":true}",7.18686079448083,NaN,7.26198076287119,3.61288191954075,NaN,1,1,1,middle_quantile_selected,Inf,0.1553617,NaN,1
Kriging,30,5,2610,185,655,4095,"{""seedOnly"":true}",7.04682993908066,NaN,7.02655303419358,2.25888930471005,NaN,2,1,1,middle_quantile_selected,7.18686079448083,0.1414228,NaN,1
MLP,20,7,2440,219,717,3767,"{""seedOnly"":true}",8.69754324568953,NaN,5.2879230067958,4.12648120712834,NaN,1,1,1,middle_quantile_selected,Inf,0.7909511,NaN,1
MLP,30,1,2210,117,531,3691,"{""seedOnly"":true}",1.23593077046585,NaN,0.832132065861076,2.883565943044,NaN,2,1,1,middle_quantile_selected,8.69754324568953,0.7926408,NaN,1
SVR_RBF,20,2,111,134,562,3262,"{""seed"":111,""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05}",5.94755641668772,NaN,6.19932991679033,3.49603897748336,NaN,1,1,1,middle_quantile_selected,Inf,0.0959682,NaN,1
SVR_RBF,30,4,111,168,624,3994,"{""seed"":111,""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05}",5.62720454157644,NaN,5.54766554200797,1.52818668433404,NaN,2,1,1,middle_quantile_selected,5.94755641668772,0.092501,NaN,1
