Model,TrainCount,Seed,HighTest_MAPE_Mean,HighTest_MAPE_Std,HighTest_MAPE_Median,LowHoldout_MAPE_Mean,LowHoldout_MAPE_Median,ParamsJSON
SVR_RBF,5,111,4.41630063266404,NaN,4.5329321030779,10.2801261367982,10.427341974345,"{""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05,""seed"":111}"
RD_GEP,5,1500,5.97660144672038,8.72491655319291,2.69387145954277,45494415198.9666,10.0115813353339,"{""popSize"":70,""nGenerations"":45,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8,""seed"":1500,""frontierBiasFraction"":0.7,""ridgeLambda"":0.03,""wFrontier"":1.2}"
Kriging,5,NaN,6.79951270990039,NaN,6.06918775330856,9.81267018712708,9.75666672434543,"{}"
MLP,5,NaN,26.0420387236074,NaN,20.3458923431196,10.3537691131635,7.94880134803559,"{}"
BaseGEP,5,NaN,77.8754809875376,NaN,3.2428422487921,41.9932535961408,3.43579585757644,"{""nGenerations"":50,""popSize"":84,""numGenes"":3,""headLen"":8,""ridgeLambda"":0.05}"
RD_GEP,10,9000,2.1353210842305,1.96007135554903,1.82426672398849,7109143040.31929,5.82780803690082,"{""popSize"":70,""nGenerations"":45,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8,""seed"":9000,""frontierBiasFraction"":0.9,""ridgeLambda"":0.03,""wFrontier"":1}"
SVR_RBF,10,111,5.50868344032278,NaN,5.49572752625139,6.81638641465047,6.64193625309179,"{""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05,""seed"":111}"
Kriging,10,NaN,7.5271900299958,NaN,7.52792274964739,6.40308809206499,6.01690795118162,"{}"
BaseGEP,10,NaN,14.972173452446,NaN,1.5164977372339,2.7239832950638,1.37455229940589,"{""nGenerations"":50,""popSize"":84,""numGenes"":3,""headLen"":8,""ridgeLambda"":0.05}"
MLP,10,NaN,27.0497797861689,NaN,22.2175052736125,6.30456936914397,5.60185979504481,"{}"
RD_GEP,15,4000,1.33490796801291,1.36584644532301,1.00490479846532,41.8117362435,0.726443704871595,"{""popSize"":70,""nGenerations"":45,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8,""seed"":4000,""frontierBiasFraction"":0.7,""ridgeLambda"":0.05,""wFrontier"":1}"
BaseGEP,15,NaN,3.10535896122254,NaN,0.907952073039417,0.580939177531742,0.425498823768314,"{""nGenerations"":50,""popSize"":92,""numGenes"":4,""headLen"":8,""ridgeLambda"":0.12}"
SVR_RBF,15,111,5.905085348872,NaN,5.80119797042169,4.58010583479677,4.32236668282765,"{""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05,""seed"":111}"
Kriging,15,NaN,7.28677530208036,NaN,7.16555895525501,4.15729734636292,4.07865037687172,"{}"
MLP,15,NaN,19.0754274235454,NaN,19.9372775427927,4.97537142158316,4.31650660644571,"{}"
RD_GEP,20,9000,0.930167630247794,0.492122402867384,0.886440331035586,0.88735483387013,0.699468052999764,"{""popSize"":70,""nGenerations"":45,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8,""seed"":9000,""frontierBiasFraction"":0.7,""ridgeLambda"":0.03,""wFrontier"":1}"
BaseGEP,20,NaN,1.25510041432918,NaN,1.03593510246679,1.38662523071089,0.585533239139689,"{""nGenerations"":50,""popSize"":84,""numGenes"":3,""headLen"":8,""ridgeLambda"":0.05}"
SVR_RBF,20,111,6.53235767146186,NaN,6.35741990129903,3.61841930212584,3.24633066342947,"{""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05,""seed"":111}"
Kriging,20,NaN,7.2915723210656,NaN,7.26931137482996,3.5867379930964,3.18303430376594,"{}"
MLP,20,NaN,8.64295037093396,NaN,3.76038261237399,3.9523001538331,3.11449126260389,"{}"
RD_GEP,25,6500,0.792540954034182,0.526188395587699,0.593247961859384,0.537283667432652,0.372533164520547,"{""popSize"":70,""nGenerations"":45,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8,""seed"":6500,""frontierBiasFraction"":0.7,""ridgeLambda"":0.05,""wFrontier"":1}"
BaseGEP,25,NaN,0.85335267834402,NaN,0.835015017846467,0.553711271607169,0.384106954204089,"{""nGenerations"":50,""popSize"":104,""numGenes"":5,""headLen"":8,""ridgeLambda"":0.1}"
MLP,25,NaN,2.78607864842142,NaN,1.64235660547974,3.70071546135303,3.22413445933559,"{}"
SVR_RBF,25,111,5.79558113679284,NaN,5.70772911559001,2.15296856618738,2.05041425993206,"{""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05,""seed"":111}"
Kriging,25,NaN,7.00559232897397,NaN,6.95472020720914,3.04913685283444,3.10234667500321,"{}"
RD_GEP,30,6500,0.684667616281792,0.246483839160631,0.640213506000922,0.430386713796083,0.283222891102339,"{""popSize"":70,""nGenerations"":45,""wDeriv"":0.05,""maxCorrectionGenes"":5,""frontierPatience"":8,""seed"":6500,""frontierBiasFraction"":0.7,""ridgeLambda"":0.03,""wFrontier"":1.2}"
BaseGEP,30,NaN,0.994410660879823,NaN,0.856188494096875,0.431006098814898,0.30694084204303,"{""nGenerations"":50,""popSize"":108,""numGenes"":5,""headLen"":12,""ridgeLambda"":0.15}"
MLP,30,NaN,1.76483843342169,NaN,0.707634692440973,2.96195151457682,2.66689284248459,"{}"
SVR_RBF,30,111,5.80477545095485,NaN,5.62808603309224,1.57010267118891,1.46544370388377,"{""boxConstraint"":10,""kernelScale"":5,""epsilonScale"":0.05,""seed"":111}"
Kriging,30,NaN,7.16020426642841,NaN,7.05904395307474,2.29279279691868,2.18143049822535,"{}"
