CaseIndex,Temperature,FREQ1,Role
1,20,156.37076,low_domain
2,67.430509,151.75732,low_domain
3,85.434966,149.52622,low_domain
4,94.858885,148.4542,low_domain
5,102.78247,147.66349,low_domain
6,113.21068,146.28446,low_domain
7,118.32038,145.93504,low_domain
8,122.20265,145.31818,low_domain
9,131.27671,144.19434,low_domain
10,133.98649,143.78524,low_domain
11,137.55913,143.47718,low_domain
12,144.20734,142.70391,low_domain
13,147.75539,141.77366,low_domain
14,152.18155,141.44273,low_domain
15,154.60128,141.24257,low_domain
16,158.7739,140.29528,low_domain
17,161.6159,140.03361,low_domain
18,165.88462,139.42805,low_domain
19,167.46074,139.13536,low_domain
20,171.43337,138.8976,low_domain
21,173.65912,138.42663,low_domain
22,178.24876,137.01434,low_domain
23,180.54055,136.95097,low_domain
24,184.89743,136.51073,low_domain
25,186.71187,135.87384,low_domain
26,188.0878,135.72213,low_domain
27,190.58614,135.16346,low_domain
28,193.96782,135.35932,low_domain
29,195.54201,134.92577,low_domain
30,200.22856,133.73759,low_domain
31,202.30583,133.4245,low_domain
32,204.0523,132.77968,low_domain
33,206.73093,132.41651,low_domain
34,208.89076,131.65011,low_domain
35,211.579,132.58532,low_domain
36,212.28455,131.51079,low_domain
37,216.19362,131.09787,low_domain
38,217.66569,131.23253,low_domain
39,219.33484,130.14973,low_domain
40,221.96833,129.56846,low_domain
41,222.62047,130.33741,low_domain
42,225.37427,129.7592,low_domain
43,227.52819,127.67609,low_domain
44,228.89138,128.68191,low_domain
45,231.48254,127.29373,low_domain
46,233.63428,126.46297,low_domain
47,235.22428,126.74938,low_domain
48,236.63096,126.49058,low_domain
49,238.10773,127.21732,low_domain
50,239.88674,125.71475,low_domain
51,242.20158,125.87559,low_domain
52,243.90336,126.36308,low_domain
53,246.21379,124.13336,low_domain
54,247.0682,123.77082,low_domain
55,248.77101,123.86297,low_domain
56,250.94747,122.56806,low_domain
57,253.06609,123.65944,low_domain
58,254.18919,121.81032,low_domain
59,255.32577,122.98777,low_domain
60,256.65899,121.75242,low_domain
61,258.84,121.21856,low_domain
62,260.49683,122.59911,low_domain
63,261.57374,120.77532,low_domain
64,262.80226,120.72826,low_domain
65,265.81652,119.40671,low_domain
66,266.66751,119.17266,low_domain
67,268.25692,117.39601,low_domain
68,270.28124,118.26523,low_domain
69,271.14553,118.6898,low_domain
70,272.88437,118.30942,low_domain
71,274.01257,116.20088,low_domain
72,274.67687,116.99495,low_domain
73,276.45545,116.98983,low_domain
74,278.39155,115.88144,low_domain
75,280.01882,115.92783,low_domain
76,280.76209,115.23502,low_domain
77,282.3252,113.39187,low_domain
78,283.49022,113.96484,low_domain
79,285.63748,112.88907,low_domain
80,286.49501,113.07663,low_domain
81,287.87295,114.45644,low_domain
82,288.62896,113.03313,low_domain
83,290.29161,110.26116,low_domain
84,291.25834,112.22694,high_test_selected
85,292.73965,109.92847,high_test_selected
86,294.61917,111.53059,high_test_selected
87,295.96906,109.122,high_test_selected
88,297.13817,111.3515,high_test_selected
89,298.53356,111.11025,high_test_selected
90,299.39397,108.5764,high_test_selected
91,301.9686,107.22505,high_test_selected
92,306.69952,105.90673,high_domain_not_selected
93,308.6153,103.91191,high_domain_not_selected
94,310.27937,102.87662,high_domain_not_selected
95,315.93296,98.494218,high_domain_not_selected
96,317.78606,97.888312,high_domain_not_selected
97,320.21409,94.535719,high_domain_not_selected
98,323.21159,93.813669,high_domain_not_selected
99,324.81719,95.076697,high_domain_not_selected
100,329.06011,88.777372,high_domain_not_selected
101,332.37516,91.26426,high_domain_not_selected
102,334.73099,81.227947,high_domain_not_selected
103,337.36256,79.282763,high_domain_not_selected
104,338.65694,81.334016,high_domain_not_selected
105,340.63448,78.029893,high_domain_not_selected
106,343.57156,79.970325,high_domain_not_selected
107,346.26456,68.852654,high_domain_not_selected
108,349.9084,64.338325,high_domain_not_selected
109,351.16375,55.779007,high_domain_not_selected
110,355.32175,57.534706,high_domain_not_selected
