Model,TrainCount,TrialIndex,SelectionReason,ParamsKeyValue,Clean_HighTest_MAPE_Mean,Raw_HighTest_MAPE_Mean,KeptRunCount,RemovedDisasterRunCount,KeptRunRate
BaseGEP,5,2,conservative_comparison_selected,baseModelSeed=11157;popSize=32;nGenerations=18;numGenes=1;headLen=5;ridgeLambda=1.5,9.57071087284529,9.57071087284529,20,0,100
BaseGEP,8,1,conservative_comparison_selected,baseModelSeed=11249;popSize=24;nGenerations=12;numGenes=1;headLen=4;ridgeLambda=0.8,5.81714488448709,5.81714488448709,20,0,100
BaseGEP,11,1,conservative_comparison_selected,baseModelSeed=11342;popSize=24;nGenerations=12;numGenes=1;headLen=4;ridgeLambda=0.8,5.09771616966565,5.09771616966565,20,0,100
BaseGEP,14,2,conservative_comparison_selected,baseModelSeed=11436;popSize=32;nGenerations=18;numGenes=1;headLen=5;ridgeLambda=1.5,4.66344742238988,4.66344742238988,20,0,100
BaseGEP,17,2,conservative_comparison_selected,baseModelSeed=11529;popSize=32;nGenerations=18;numGenes=1;headLen=5;ridgeLambda=1.5,4.14795564127783,4.14795564127783,20,0,100
BaseGEP,20,3,conservative_comparison_selected,baseModelSeed=11623;popSize=40;nGenerations=20;numGenes=2;headLen=5;ridgeLambda=1,3.17390929740528,3.17390929740528,20,0,100
BaseGEP,25,3,conservative_comparison_selected,baseModelSeed=11778;popSize=40;nGenerations=20;numGenes=2;headLen=5;ridgeLambda=1,2.77353580573834,2.77353580573834,20,0,100
BaseGEP,30,3,conservative_comparison_selected,baseModelSeed=11933;popSize=40;nGenerations=20;numGenes=2;headLen=5;ridgeLambda=1,2.84344912313173,2.84344912313173,20,0,100
Kriging,5,2,early_middle_high_selected,kernelFunction=matern32;minSigma=7;minSigmaRatio=0.1;constantSigma=true;standardize=false;frontierBiasFraction=0.2;baseSplitSeed=3157,16.9157327702879,16.9157327702879,20,0,100
Kriging,8,3,trend_preserving_selected,kernelFunction=squaredexponential;minSigma=4;minSigmaRatio=0.06;constantSigma=true;standardize=true;frontierBiasFraction=0.3;baseSplitSeed=3251,10.2959377673807,10.2959377673807,20,0,100
Kriging,11,3,trend_preserving_selected,kernelFunction=squaredexponential;minSigma=4;minSigmaRatio=0.06;constantSigma=true;standardize=true;frontierBiasFraction=0.4;baseSplitSeed=3344,6.29181875618154,6.29181875618154,20,0,100
Kriging,14,3,trend_preserving_selected,kernelFunction=squaredexponential;minSigma=4;minSigmaRatio=0.06;constantSigma=true;standardize=true;frontierBiasFraction=0.45;baseSplitSeed=3437,5.04373309725264,5.04373309725264,20,0,100
Kriging,17,3,best_available_trend_gap,kernelFunction=squaredexponential;minSigma=4;minSigmaRatio=0.06;constantSigma=true;standardize=true;frontierBiasFraction=0.5;baseSplitSeed=3530,5.0416450618052,5.0416450618052,20,0,100
Kriging,20,3,stable_best_selected,kernelFunction=squaredexponential;minSigma=4;minSigmaRatio=0.06;constantSigma=true;standardize=true;frontierBiasFraction=0.55;baseSplitSeed=3623,5.00704203390642,5.00704203390642,20,0,100
Kriging,25,3,stable_best_selected,kernelFunction=squaredexponential;minSigma=4;minSigmaRatio=0.06;constantSigma=true;standardize=true;frontierBiasFraction=0.6;baseSplitSeed=3778,4.91136661988675,4.91136661988675,20,0,100
Kriging,30,3,stable_best_selected,kernelFunction=squaredexponential;minSigma=4;minSigmaRatio=0.06;constantSigma=true;standardize=true;frontierBiasFraction=0.6;baseSplitSeed=3933,4.88418866573454,4.88418866573454,20,0,100
MLP,5,2,early_middle_high_selected,hiddenSizes=[7 3];lambda=0.08;maxIterations=450;frontierBiasFraction=0.2;baseSplitSeed=4187;baseModelSeed=7747,41.6618373489124,41.6618373489124,20,0,100
MLP,8,1,trend_preserving_selected,hiddenSizes=[5 2];lambda=0.12;maxIterations=400;frontierBiasFraction=0.3;baseSplitSeed=4297;baseModelSeed=7833,33.9711102477153,33.9711102477153,20,0,100
MLP,11,2,trend_preserving_selected,hiddenSizes=[7 3];lambda=0.08;maxIterations=450;frontierBiasFraction=0.4;baseSplitSeed=4409;baseModelSeed=7921,19.9505867923518,19.9505867923518,20,0,100
MLP,14,3,trend_preserving_selected,hiddenSizes=[10 4];lambda=0.04;maxIterations=500;frontierBiasFraction=0.45;baseSplitSeed=4521;baseModelSeed=8009,13.687383487213,13.687383487213,20,0,100
MLP,17,2,trend_preserving_selected,hiddenSizes=[7 3];lambda=0.08;maxIterations=450;frontierBiasFraction=0.5;baseSplitSeed=4631;baseModelSeed=8095,9.08059084242019,9.08059084242019,20,0,100
MLP,20,2,stable_best_selected,hiddenSizes=[7 3];lambda=0.08;maxIterations=450;frontierBiasFraction=0.55;baseSplitSeed=4742;baseModelSeed=8182,5.01372518263486,5.01372518263486,20,0,100
MLP,25,3,stable_best_selected,hiddenSizes=[10 4];lambda=0.04;maxIterations=500;frontierBiasFraction=0.6;baseSplitSeed=4928;baseModelSeed=8328,3.54655730338532,3.54655730338532,20,0,100
MLP,30,1,stable_best_selected,hiddenSizes=[5 2];lambda=0.12;maxIterations=400;frontierBiasFraction=0.6;baseSplitSeed=5111;baseModelSeed=8471,2.28742196625267,2.28742196625267,20,0,100
RD_GEP,5,1,early_middle_high_selected,baseRandomSeed=4165;popSize=70;nGenerations=45;ridgeLambda=0.03;wFrontier=0.8;wDeriv=0.05;frontierBiasFraction=0.2,24.5017429749185,60.5367560058862,19,1,95
RD_GEP,8,1,trend_preserving_selected,baseRandomSeed=4204;popSize=70;nGenerations=45;ridgeLambda=0.03;wFrontier=0.8;wDeriv=0.05;frontierBiasFraction=0.3,8.87423665972334,8.87423665972334,20,0,100
RD_GEP,11,1,trend_preserving_selected,baseRandomSeed=4243;popSize=70;nGenerations=45;ridgeLambda=0.03;wFrontier=0.8;wDeriv=0.05;frontierBiasFraction=0.4,4.21455484168215,4.21455484168215,20,0,100
RD_GEP,14,3,trend_preserving_selected,baseRandomSeed=9182;popSize=90;nGenerations=55;ridgeLambda=0.08;wFrontier=1.2;wDeriv=0.05;frontierBiasFraction=0.45,1.9007282242562,9567103699.38891,19,1,95
RD_GEP,17,3,trend_preserving_selected,baseRandomSeed=9221;popSize=90;nGenerations=55;ridgeLambda=0.08;wFrontier=1.2;wDeriv=0.05;frontierBiasFraction=0.5,1.32271954912159,1.32271954912159,20,0,100
RD_GEP,20,2,stable_best_selected,baseRandomSeed=6760;popSize=80;nGenerations=50;ridgeLambda=0.05;wFrontier=1;wDeriv=0.05;frontierBiasFraction=0.55,0.998818280949417,0.998818280949417,20,0,100
RD_GEP,25,3,stable_best_selected,baseRandomSeed=9325;popSize=90;nGenerations=55;ridgeLambda=0.08;wFrontier=1.2;wDeriv=0.05;frontierBiasFraction=0.6,0.825379908994089,0.825379908994089,20,0,100
RD_GEP,30,2,stable_best_selected,baseRandomSeed=6890;popSize=80;nGenerations=50;ridgeLambda=0.05;wFrontier=1;wDeriv=0.05;frontierBiasFraction=0.6,0.778937799038881,0.778937799038881,20,0,100
SVR_RBF,5,2,early_middle_high_selected,boxConstraint=3;kernelScale=6;epsilonScale=0.08;seed=8807;frontierBiasFraction=0.2;baseSplitSeed=5217,14.7172274779938,14.7172274779938,20,0,100
SVR_RBF,8,3,trend_preserving_selected,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=8931;frontierBiasFraction=0.3;baseSplitSeed=5347,13.0968644400366,13.0968644400366,20,0,100
