Model,TrainCount,Clean_HighTest_MAPE_Mean,Raw_HighTest_MAPE_Mean,KeptRunRate,SelectionReason
BaseGEP,5,9.57071087284529,9.57071087284529,100,conservative_comparison_selected
SVR_RBF,5,14.7172274779938,14.7172274779938,100,early_middle_high_selected
Kriging,5,16.9157327702879,16.9157327702879,100,early_middle_high_selected
RD_GEP,5,24.5017429749185,60.5367560058862,95,early_middle_high_selected
MLP,5,41.6618373489124,41.6618373489124,100,early_middle_high_selected
BaseGEP,8,5.81714488448709,5.81714488448709,100,conservative_comparison_selected
RD_GEP,8,8.87423665972334,8.87423665972334,100,trend_preserving_selected
Kriging,8,10.2959377673807,10.2959377673807,100,trend_preserving_selected
SVR_RBF,8,13.0968644400366,13.0968644400366,100,trend_preserving_selected
MLP,8,33.9711102477153,33.9711102477153,100,trend_preserving_selected
RD_GEP,11,4.21455484168215,4.21455484168215,100,trend_preserving_selected
BaseGEP,11,5.09771616966565,5.09771616966565,100,conservative_comparison_selected
Kriging,11,6.29181875618154,6.29181875618154,100,trend_preserving_selected
SVR_RBF,11,10.6066339569952,10.6066339569952,100,trend_preserving_selected
MLP,11,19.9505867923518,19.9505867923518,100,trend_preserving_selected
RD_GEP,14,1.9007282242562,9567103699.38891,95,trend_preserving_selected
BaseGEP,14,4.66344742238988,4.66344742238988,100,conservative_comparison_selected
Kriging,14,5.04373309725264,5.04373309725264,100,trend_preserving_selected
SVR_RBF,14,10.6497231544676,10.6497231544676,100,best_available_trend_gap
MLP,14,13.687383487213,13.687383487213,100,trend_preserving_selected
RD_GEP,17,1.32271954912159,1.32271954912159,100,trend_preserving_selected
BaseGEP,17,4.14795564127783,4.14795564127783,100,conservative_comparison_selected
Kriging,17,5.0416450618052,5.0416450618052,100,best_available_trend_gap
MLP,17,9.08059084242019,9.08059084242019,100,trend_preserving_selected
SVR_RBF,17,9.16705534499298,9.16705534499298,100,trend_preserving_selected
RD_GEP,20,0.998818280949417,0.998818280949417,100,stable_best_selected
BaseGEP,20,3.17390929740528,3.17390929740528,100,conservative_comparison_selected
Kriging,20,5.00704203390642,5.00704203390642,100,stable_best_selected
MLP,20,5.01372518263486,5.01372518263486,100,stable_best_selected
SVR_RBF,20,9.16869730960977,9.16869730960977,100,stable_best_selected
RD_GEP,25,0.825379908994089,0.825379908994089,100,stable_best_selected
BaseGEP,25,2.77353580573834,2.77353580573834,100,conservative_comparison_selected
MLP,25,3.54655730338532,3.54655730338532,100,stable_best_selected
Kriging,25,4.91136661988675,4.91136661988675,100,stable_best_selected
SVR_RBF,25,8.09762868332517,8.09762868332517,100,stable_best_selected
RD_GEP,30,0.778937799038881,0.778937799038881,100,stable_best_selected
MLP,30,2.28742196625267,2.28742196625267,100,stable_best_selected
BaseGEP,30,2.84344912313173,2.84344912313173,100,conservative_comparison_selected
Kriging,30,4.88418866573454,4.88418866573454,100,stable_best_selected
SVR_RBF,30,8.3868967686886,8.3868967686886,100,stable_best_selected
