Model,TrainCount,TrialIndex,Seed,BaseSplitSeed,BaseModelSeed,SeedJitter,ParamsJSON,HighTest_MAPE_Mean,HighTest_MAPE_Std,HighTest_MAPE_Median,LowHoldout_MAPE_Mean,Train_MAPE_Mean,SequenceIndex,IsFeasible,Locked,SelectionReason,PreviousLockedHighTest_MAPE_Mean,ElapsedSeconds,ErrorMessage,Success
RD_GEP,3,1,1211,117,531,2260,"{""popSize"":12,""nGenerations"":3,""ridgeLambda"":0.02,""wFrontier"":0.6,""wDeriv"":0.02,""maxCorrectionGenes"":3,""frontierPatience"":5}",42.4190039994752,1.09738746134815,42.4190039994752,6.32481586441929,NaN,1,1,0,,NaN,0.8503249,,1
RD_GEP,3,2,1311,134,562,2361,"{""popSize"":16,""nGenerations"":3,""ridgeLambda"":0.05,""wFrontier"":0.8,""wDeriv"":0.05,""maxCorrectionGenes"":4,""frontierPatience"":6}",286.43926430118,354.565761474674,286.43926430118,22.137770829316,NaN,1,1,0,,NaN,0.1717531,,1
RD_GEP,5,1,1285,117,531,2366,"{""popSize"":12,""nGenerations"":3,""ridgeLambda"":0.02,""wFrontier"":0.6,""wDeriv"":0.02,""maxCorrectionGenes"":3,""frontierPatience"":5}",41.0034691617144,15.63850734499,41.0034691617144,2.24773615447283,NaN,2,1,0,,NaN,0.132891,,1
RD_GEP,5,2,1385,134,562,2467,"{""popSize"":16,""nGenerations"":3,""ridgeLambda"":0.05,""wFrontier"":0.8,""wDeriv"":0.05,""maxCorrectionGenes"":4,""frontierPatience"":6}",35.3742132965865,40.1513461033915,35.3742132965865,4.31247302203819,NaN,2,1,0,,NaN,0.108052,,1
BaseGEP,3,1,1211,117,531,2260,"{""popSize"":12,""nGenerations"":3,""numGenes"":2,""headLen"":6,""ridgeLambda"":0.02}",39.2301132998482,NaN,39.2301132998482,8.89785237580439,NaN,1,1,0,,NaN,0.2117701,,1
BaseGEP,3,2,1311,134,562,2361,"{""popSize"":16,""nGenerations"":3,""numGenes"":3,""headLen"":8,""ridgeLambda"":0.05}",39.0673465770981,NaN,39.0673465770981,8.56720572752469,NaN,1,1,0,,NaN,0.0868543,,1
BaseGEP,5,1,1285,117,531,2366,"{""popSize"":12,""nGenerations"":3,""numGenes"":2,""headLen"":6,""ridgeLambda"":0.02}",27.5303397863537,NaN,27.5303397863537,0.951924598088306,NaN,2,1,0,,NaN,0.0701559,,1
BaseGEP,5,2,1385,134,562,2467,"{""popSize"":16,""nGenerations"":3,""numGenes"":3,""headLen"":8,""ridgeLambda"":0.05}",27.1642466500374,NaN,27.1642466500374,1.67481887816954,NaN,2,1,0,,NaN,0.0503881,,1
Kriging,3,1,1211,117,531,2260,"{""seedOnly"":true}",44.2749742507291,NaN,44.2749742507291,7.24981345443457,NaN,1,1,0,,NaN,0.5315092,,1
Kriging,3,2,1311,134,562,2361,"{""seedOnly"":true}",46.6580491989206,NaN,46.6580491989206,7.30667312541751,NaN,1,1,0,,NaN,0.0761081,,1
Kriging,5,1,1285,117,531,2366,"{""seedOnly"":true}",53.9778031465919,NaN,53.9778031465919,7.20591758662254,NaN,2,0,0,,NaN,0.1488783,,1
Kriging,5,2,1385,134,562,2467,"{""seedOnly"":true}",49.6059495268457,NaN,49.6059495268457,6.78772513192961,NaN,2,0,0,,NaN,0.0259081,,1
MLP,3,1,1211,117,531,2260,"{""seedOnly"":true}",76.3945194158725,NaN,76.3945194158725,34.4769310062881,NaN,1,1,0,,NaN,0.3545775,,1
MLP,3,2,1311,134,562,2361,"{""seedOnly"":true}",53.0948899210917,NaN,53.0948899210917,8.07062216493115,NaN,1,1,0,,NaN,0.1417162,,1
MLP,5,1,1285,117,531,2366,"{""seedOnly"":true}",60.259686202113,NaN,60.259686202113,12.1461750882562,NaN,2,0,0,,NaN,0.1697964,,1
MLP,5,2,1385,134,562,2467,"{""seedOnly"":true}",80.8915276834478,NaN,80.8915276834478,33.3871370169647,NaN,2,0,0,,NaN,0.0925335,,1
SVR_RBF,3,1,1211,117,531,2260,"{""seedOnly"":true}",39.5010453430782,NaN,39.5010453430782,7.7179843417533,NaN,1,1,0,,NaN,0.1515375,,1
SVR_RBF,3,2,1311,134,562,2361,"{""seedOnly"":true}",48.2986278362362,NaN,48.2986278362362,7.39275101235872,NaN,1,1,0,,NaN,0.0400568,,1
SVR_RBF,5,1,1285,117,531,2366,"{""seedOnly"":true}",53.2510490741557,NaN,53.2510490741557,7.72540744204942,NaN,2,0,0,,NaN,0.0731819,,1
SVR_RBF,5,2,1385,134,562,2467,"{""seedOnly"":true}",47.36471564395,NaN,47.36471564395,6.32822230397274,NaN,2,0,0,,NaN,0.0218071,,1
