Model,TrainCount,GapBand,ActualGap,Clean_HighTest_MAPE_Mean,Clean_HighTest_MAPE_Median,Clean_HighTest_MAPE_Std,Raw_HighTest_MAPE_Mean,KeptRunCount,RemovedDisasterRunCount,KeptRunRate
RD_GEP,20,G20,20.61009,0.844686720450878,0.63702,0.68827,0.844686720450878,20,0,100
BaseGEP,20,G20,20.61009,3.19387329521942,3.3209,0.74109,3.19387329521942,20,0,100
Kriging,20,G20,20.61009,4.50890450683097,4.4795,0.30292,4.50890450683097,20,0,100
SVR_RBF,20,G20,20.61009,5.88205273898234,5.7517,0.58686,5.88205273898234,20,0,100
MLP,20,G20,20.61009,10.0111132880514,3.5722,13.909,10.0111132880514,20,0,100
RD_GEP,20,G30,30.3945,1.18147572826413,0.95124,0.91377,1.18147572826413,20,0,100
BaseGEP,20,G30,30.3945,4.42556592546951,4.5131,1.0523,4.42556592546951,20,0,100
Kriging,20,G30,30.3945,6.16852044362506,6.189,0.40825,6.16852044362506,20,0,100
SVR_RBF,20,G30,30.3945,7.40205635704112,7.2622,0.63232,7.40205635704112,20,0,100
MLP,20,G30,30.3945,16.6122452699203,3.2678,24.921,16.6122452699203,20,0,100
RD_GEP,20,G40,40.13208,1.72252571234961,1.5289,1.2712,1.72252571234961,20,0,100
BaseGEP,20,G40,40.13208,6.33494693763345,6.3146,1.7653,6.33494693763345,20,0,100
Kriging,20,G40,40.13208,8.34460456668097,8.397,0.67478,8.34460456668097,20,0,100
SVR_RBF,20,G40,40.13208,11.9488357168755,11.959,0.90853,11.9488357168755,20,0,100
MLP,20,G40,40.13208,22.5819772370985,7.8129,29.114,22.5819772370985,20,0,100
RD_GEP,20,G50,50.40487,2.74886988756012,2.1093,2.1035,2.74886988756012,20,0,100
BaseGEP,20,G50,50.40487,8.69244578259466,8.4779,2.2617,8.69244578259466,20,0,100
Kriging,20,G50,50.40487,10.6200210408948,10.527,0.57939,10.6200210408948,20,0,100
SVR_RBF,20,G50,50.40487,14.4596428385195,14.517,0.72396,14.4596428385195,20,0,100
MLP,20,G50,50.40487,23.4026521585642,7.355,31.47,23.4026521585642,20,0,100
RD_GEP,20,G62,62.08186,6.21816338126197,6.2155,2.5576,6.21816338126197,20,0,100
BaseGEP,20,G62,62.08186,16.5347469313149,16.499,4.0749,16.5347469313149,20,0,100
Kriging,20,G62,62.08186,19.1543116190395,19.035,0.69272,19.1543116190395,20,0,100
SVR_RBF,20,G62,62.08186,24.8384583076968,24.637,0.93099,24.8384583076968,20,0,100
MLP,20,G62,62.08186,26.268116371481,9.9337,33.014,26.268116371481,20,0,100
RD_GEP,20,G80,80.32735,14.6187892738512,15.446,3.8623,14.6187892738512,20,0,100
MLP,20,G80,80.32735,27.2262411881371,13.397,30.82,27.2262411881371,20,0,100
BaseGEP,20,G80,80.32735,30.0372782605383,30.536,8.2999,30.0372782605383,20,0,100
Kriging,20,G80,80.32735,34.3789448625378,34.24,0.91208,34.3789448625378,20,0,100
SVR_RBF,20,G80,80.32735,43.1431056034712,43.112,0.9143,43.1431056034712,20,0,100
RD_GEP,30,G20,20.61009,0.548850360493932,0.50474,0.2894,0.548850360493932,20,0,100
BaseGEP,30,G20,20.61009,2.94444572880984,3.1336,0.8806,2.94444572880984,20,0,100
Kriging,30,G20,20.61009,3.81178139654278,3.8366,0.10444,3.81178139654278,20,0,100
SVR_RBF,30,G20,20.61009,4.75107399524897,4.8467,0.27457,4.75107399524897,20,0,100
MLP,30,G20,20.61009,9.8738851435382,4.9732,10.053,9.8738851435382,20,0,100
RD_GEP,30,G30,30.3945,0.996307179947172,0.97402,0.47131,0.996307179947172,20,0,100
BaseGEP,30,G30,30.3945,3.97109656145574,4.1632,0.859,3.97109656145574,20,0,100
Kriging,30,G30,30.3945,5.3639198239896,5.3255,0.21281,5.3639198239896,20,0,100
SVR_RBF,30,G30,30.3945,6.19444124667456,6.2129,0.35834,6.19444124667456,20,0,100
MLP,30,G30,30.3945,16.1778279811114,6.7852,19.422,16.1778279811114,20,0,100
RD_GEP,30,G40,40.13208,1.6095973275471,1.5528,0.78719,1.6095973275471,20,0,100
BaseGEP,30,G40,40.13208,5.38750480623507,5.86,1.1079,5.38750480623507,20,0,100
Kriging,30,G40,40.13208,7.34363177641661,7.2795,0.30958,7.34363177641661,20,0,100
SVR_RBF,30,G40,40.13208,10.438423914579,10.364,0.34671,10.438423914579,20,0,100
MLP,30,G40,40.13208,22.9360677322179,9.5046,24.993,22.9360677322179,20,0,100
RD_GEP,30,G50,50.40487,2.79230894398889,2.9324,1.0258,2.79230894398889,20,0,100
BaseGEP,30,G50,50.40487,7.29623808494696,7.8605,1.8996,7.29623808494696,20,0,100
Kriging,30,G50,50.40487,9.44386182757212,9.4133,0.26708,9.44386182757212,20,0,100
SVR_RBF,30,G50,50.40487,12.9306055457473,13.006,0.4247,12.9306055457473,20,0,100
MLP,30,G50,50.40487,27.8938994999003,13.019,27.389,27.8938994999003,20,0,100
RD_GEP,30,G62,62.08186,6.73690026073444,6.3054,2.291,6.73690026073444,20,0,100
BaseGEP,30,G62,62.08186,14.758323655598,15.635,3.0683,14.758323655598,20,0,100
Kriging,30,G62,62.08186,17.7219989486811,17.658,0.2678,17.7219989486811,20,0,100
SVR_RBF,30,G62,62.08186,23.194609946695,23.15,0.61499,23.194609946695,20,0,100
MLP,30,G62,62.08186,38.3070977473963,21.556,28.778,38.3070977473963,20,0,100
RD_GEP,30,G80,80.32735,16.3475315780685,16.105,3.8341,16.3475315780685,20,0,100
BaseGEP,30,G80,80.32735,27.9083650413028,29.197,4.6194,27.9083650413028,20,0,100
Kriging,30,G80,80.32735,32.4149022461637,32.359,0.38873,32.4149022461637,20,0,100
SVR_RBF,30,G80,80.32735,41.5140351364221,41.515,0.7723,41.5140351364221,20,0,100
MLP,30,G80,80.32735,47.3578242262814,34.282,24.786,47.3578242262814,20,0,100
