Model,TrainCount,ErrorThreshold,MaxUsableGap,MaxUsableGapBand
RD_GEP,20,2,40.13208,G40
RD_GEP,20,5,50.40487,G50
RD_GEP,20,10,62.08186,G62
RD_GEP,20,15,80.32735,G80
RD_GEP,30,2,40.13208,G40
RD_GEP,30,5,50.40487,G50
RD_GEP,30,10,62.08186,G62
RD_GEP,30,15,62.08186,G62
BaseGEP,20,2,NaN,
BaseGEP,20,5,30.3945,G30
BaseGEP,20,10,50.40487,G50
BaseGEP,20,15,50.40487,G50
BaseGEP,30,2,NaN,
BaseGEP,30,5,30.3945,G30
BaseGEP,30,10,50.40487,G50
BaseGEP,30,15,62.08186,G62
Kriging,20,2,NaN,
Kriging,20,5,20.61009,G20
Kriging,20,10,40.13208,G40
Kriging,20,15,50.40487,G50
Kriging,30,2,NaN,
Kriging,30,5,20.61009,G20
Kriging,30,10,50.40487,G50
Kriging,30,15,50.40487,G50
SVR_RBF,20,2,NaN,
SVR_RBF,20,5,NaN,
SVR_RBF,20,10,30.3945,G30
SVR_RBF,20,15,50.40487,G50
SVR_RBF,30,2,NaN,
SVR_RBF,30,5,20.61009,G20
SVR_RBF,30,10,30.3945,G30
SVR_RBF,30,15,50.40487,G50
MLP,20,2,NaN,
MLP,20,5,NaN,
MLP,20,10,NaN,
MLP,20,15,20.61009,G20
MLP,30,2,NaN,
MLP,30,5,NaN,
MLP,30,10,20.61009,G20
MLP,30,15,20.61009,G20
