Model,TrainCount,GapBand,ActualGap,CandidateID,Clean_HighTest_MAPE_Mean,Raw_HighTest_MAPE_Mean,KeptRunRate
BaseGEP,20,G20,20.5519,baseline_locked,2.77309064256721,2.77309064256721,100
Kriging,20,G20,20.5519,baseline_locked,4.5042395281438,4.5042395281438,100
MLP,20,G20,20.5519,baseline_locked,10.5478804794757,10.5478804794757,100
RD_GEP,20,G20,20.5519,baseline_locked,0.584455352043871,0.584455352043871,100
SVR_RBF,20,G20,20.5519,baseline_locked,5.46786229568887,5.46786229568887,100
BaseGEP,20,G40,41.16199,baseline_locked,5.1075797630759,5.1075797630759,100
Kriging,20,G40,41.16199,baseline_locked,7.39084789423514,7.39084789423514,100
MLP,20,G40,41.16199,baseline_locked,21.115894208873,21.115894208873,100
RD_GEP,20,G40,41.16199,baseline_locked,1.42308291616528,1.42308291616528,100
SVR_RBF,20,G40,41.16199,baseline_locked,9.62676127721058,9.62676127721058,100
BaseGEP,20,G60,60.68398,baseline_locked,8.50197660667443,8.50197660667443,100
Kriging,20,G60,60.68398,baseline_locked,10.7788446634051,10.7788446634051,100
MLP,20,G60,60.68398,baseline_locked,24.9764999359281,24.9764999359281,100
RD_GEP,20,G60,60.68398,baseline_locked,1.75149423644174,1.75149423644174,100
SVR_RBF,20,G60,60.68398,baseline_locked,14.9679151061662,14.9679151061662,100
BaseGEP,20,G80,80.05913,baseline_locked,18.6782176252454,18.6782176252454,100
Kriging,20,G80,80.05913,baseline_locked,21.733183373175,21.733183373175,100
MLP,20,G80,80.05913,baseline_locked,40.013528178109,40.013528178109,100
RD_GEP,20,G80,80.05913,baseline_locked,7.13514208920606,7.13514208920606,100
SVR_RBF,20,G80,80.05913,baseline_locked,28.4473966682116,28.4473966682116,100
BaseGEP,20,G100,100.87925,baseline_locked,36.0556177040025,36.0556177040025,100
Kriging,20,G100,100.87925,baseline_locked,40.1768912614449,40.1768912614449,100
MLP,20,G100,100.87925,baseline_locked,47.0329259437534,47.0329259437534,100
RD_GEP,20,G100,100.87925,baseline_locked,17.2975864425373,70.5149558978642,95
SVR_RBF,20,G100,100.87925,baseline_locked,50.3909932172102,50.3909932172102,100
BaseGEP,20,G118,118.02772,baseline_locked,68.803548081292,68.803548081292,100
Kriging,20,G118,118.02772,baseline_locked,75.9454030936264,75.9454030936264,100
MLP,20,G118,118.02772,baseline_locked,46.1630292921426,46.1630292921426,100
RD_GEP,20,G118,118.02772,baseline_locked,41.4628588713093,41.4628588713093,100
SVR_RBF,20,G118,118.02772,baseline_locked,91.4757182980887,91.4757182980887,100
BaseGEP,30,G20,20.5519,baseline_locked,2.28534073188327,2.28534073188327,100
Kriging,30,G20,20.5519,baseline_locked,3.51097369781402,3.51097369781402,100
MLP,30,G20,20.5519,baseline_locked,8.00027451641398,8.00027451641398,100
RD_GEP,30,G20,20.5519,baseline_locked,0.626589979339984,0.626589979339984,100
SVR_RBF,30,G20,20.5519,baseline_locked,4.49673679093475,4.49673679093475,100
BaseGEP,30,G40,41.16199,baseline_locked,4.39931229383215,4.39931229383215,100
Kriging,30,G40,41.16199,baseline_locked,6.00042567025704,6.00042567025704,100
MLP,30,G40,41.16199,baseline_locked,18.5566393459265,18.5566393459265,100
RD_GEP,30,G40,41.16199,baseline_locked,1.25483949239845,1.25483949239845,100
SVR_RBF,30,G40,41.16199,baseline_locked,8.33529676040864,8.33529676040864,100
BaseGEP,30,G60,60.68398,baseline_locked,7.74586918894207,7.74586918894207,100
Kriging,30,G60,60.68398,baseline_locked,9.1935171569815,9.1935171569815,100
MLP,30,G60,60.68398,baseline_locked,43.895032943694,43.895032943694,100
RD_GEP,30,G60,60.68398,baseline_locked,2.11564931320677,2.11564931320677,100
SVR_RBF,30,G60,60.68398,baseline_locked,13.8233732758921,13.8233732758921,100
BaseGEP,30,G80,80.05913,baseline_locked,17.7460608761028,17.7460608761028,100
Kriging,30,G80,80.05913,baseline_locked,19.3434042875434,19.3434042875434,100
MLP,30,G80,80.05913,baseline_locked,64.8041758244015,64.8041758244015,100
RD_GEP,30,G80,80.05913,baseline_locked,6.88496918448689,6.88496918448689,100
SVR_RBF,30,G80,80.05913,baseline_locked,27.0815769626008,27.0815769626008,100
BaseGEP,30,G100,100.87925,baseline_locked,35.1202977095004,35.1202977095004,100
Kriging,30,G100,100.87925,baseline_locked,36.9098705136433,36.9098705136433,100
MLP,30,G100,100.87925,baseline_locked,78.4866489403249,78.4866489403249,100
RD_GEP,30,G100,100.87925,baseline_locked,16.6417457512596,16.6417457512596,100
SVR_RBF,30,G100,100.87925,baseline_locked,48.9220650649318,48.9220650649318,100
BaseGEP,30,G118,118.02772,baseline_locked,66.7195518358522,66.7195518358522,100
Kriging,30,G118,118.02772,baseline_locked,71.3791010870609,71.3791010870609,100
MLP,30,G118,118.02772,baseline_locked,81.655564125802,81.655564125802,100
RD_GEP,30,G118,118.02772,baseline_locked,38.5802378714409,38.5802378714409,100
SVR_RBF,30,G118,118.02772,baseline_locked,89.7395384678467,89.7395384678467,100
