Model,TrainCount,GapBand,ActualGap,LockedCandidateID,LockedCandidateRole,Clean_HighTest_MAPE_Mean,KeptRunRate,SelectionReason
BaseGEP,20,G20,20.5519,basegep_tuned_B,tuned_candidate,1.92890084946477,100,lowest_clean_mean_after_candidate_tuning
Kriging,20,G20,20.5519,kriging_tuned_A,tuned_candidate,3.6077484397248,100,lowest_clean_mean_after_candidate_tuning
MLP,20,G20,20.5519,mlp_tuned_B,tuned_candidate,9.87022693595659,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,20,G20,20.5519,baseline_locked,baseline_locked,0.584455352043871,100,baseline_remained_best_after_tuning
SVR_RBF,20,G20,20.5519,svr_tuned_B,tuned_candidate,4.5512135856455,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,20,G40,41.16199,basegep_tuned_B,tuned_candidate,4.0339225309437,100,lowest_clean_mean_after_candidate_tuning
Kriging,20,G40,41.16199,kriging_tuned_A,tuned_candidate,6.12141379994725,100,lowest_clean_mean_after_candidate_tuning
MLP,20,G40,41.16199,mlp_tuned_B,tuned_candidate,20.889213475142,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,20,G40,41.16199,baseline_locked,baseline_locked,1.42308291616528,100,baseline_remained_best_after_tuning
SVR_RBF,20,G40,41.16199,svr_tuned_B,tuned_candidate,7.56600166911586,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,20,G60,60.68398,basegep_tuned_B,tuned_candidate,7.36453718294078,100,lowest_clean_mean_after_candidate_tuning
Kriging,20,G60,60.68398,kriging_tuned_A,tuned_candidate,9.1001565611098,100,lowest_clean_mean_after_candidate_tuning
MLP,20,G60,60.68398,baseline_locked,baseline_locked,24.9764999359281,100,baseline_remained_best_after_tuning
RD_GEP,20,G60,60.68398,baseline_locked,baseline_locked,1.75149423644174,100,baseline_remained_best_after_tuning
SVR_RBF,20,G60,60.68398,svr_tuned_B,tuned_candidate,11.3687760456073,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,20,G80,80.05913,basegep_tuned_B,tuned_candidate,16.3192230009958,100,lowest_clean_mean_after_candidate_tuning
Kriging,20,G80,80.05913,kriging_tuned_A,tuned_candidate,19.2713539951726,100,lowest_clean_mean_after_candidate_tuning
MLP,20,G80,80.05913,baseline_locked,baseline_locked,40.013528178109,100,baseline_remained_best_after_tuning
RD_GEP,20,G80,80.05913,baseline_locked,baseline_locked,7.13514208920606,100,baseline_remained_best_after_tuning
SVR_RBF,20,G80,80.05913,svr_tuned_B,tuned_candidate,22.6564330612478,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,20,G100,100.87925,basegep_tuned_B,tuned_candidate,30.1987169341394,100,lowest_clean_mean_after_candidate_tuning
Kriging,20,G100,100.87925,kriging_tuned_A,tuned_candidate,36.6888377049002,100,lowest_clean_mean_after_candidate_tuning
MLP,20,G100,100.87925,baseline_locked,baseline_locked,47.0329259437534,100,baseline_remained_best_after_tuning
RD_GEP,20,G100,100.87925,baseline_locked,baseline_locked,17.2975864425373,95,baseline_remained_best_after_tuning
SVR_RBF,20,G100,100.87925,svr_tuned_B,tuned_candidate,41.8366581756741,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,20,G118,118.02772,basegep_tuned_B,tuned_candidate,52.8133931487693,100,lowest_clean_mean_after_candidate_tuning
Kriging,20,G118,118.02772,kriging_tuned_A,tuned_candidate,70.8361839022934,100,lowest_clean_mean_after_candidate_tuning
MLP,20,G118,118.02772,baseline_locked,baseline_locked,46.1630292921426,100,baseline_remained_best_after_tuning
RD_GEP,20,G118,118.02772,baseline_locked,baseline_locked,41.4628588713093,100,baseline_remained_best_after_tuning
SVR_RBF,20,G118,118.02772,svr_tuned_B,tuned_candidate,78.8611063279309,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,30,G20,20.5519,basegep_tuned_B,tuned_candidate,1.78141510549803,100,lowest_clean_mean_after_candidate_tuning
Kriging,30,G20,20.5519,kriging_tuned_A,tuned_candidate,2.93355785926149,100,lowest_clean_mean_after_candidate_tuning
MLP,30,G20,20.5519,mlp_tuned_B,tuned_candidate,0.917657548051019,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,30,G20,20.5519,baseline_locked,baseline_locked,0.626589979339984,100,baseline_remained_best_after_tuning
SVR_RBF,30,G20,20.5519,svr_tuned_B,tuned_candidate,3.47960606378166,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,30,G40,41.16199,basegep_tuned_B,tuned_candidate,3.74520136243896,100,lowest_clean_mean_after_candidate_tuning
Kriging,30,G40,41.16199,kriging_tuned_A,tuned_candidate,5.165301214813,100,lowest_clean_mean_after_candidate_tuning
MLP,30,G40,41.16199,mlp_tuned_B,tuned_candidate,2.35872469104841,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,30,G40,41.16199,baseline_locked,baseline_locked,1.25483949239845,100,baseline_remained_best_after_tuning
SVR_RBF,30,G40,41.16199,svr_tuned_B,tuned_candidate,6.21817646778399,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,30,G60,60.68398,basegep_tuned_B,tuned_candidate,6.74058037934742,100,lowest_clean_mean_after_candidate_tuning
Kriging,30,G60,60.68398,kriging_tuned_A,tuned_candidate,8.03555641799007,100,lowest_clean_mean_after_candidate_tuning
MLP,30,G60,60.68398,mlp_tuned_B,tuned_candidate,6.0571686042307,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,30,G60,60.68398,baseline_locked,baseline_locked,2.11564931320677,100,baseline_remained_best_after_tuning
SVR_RBF,30,G60,60.68398,svr_tuned_B,tuned_candidate,9.84124944668119,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,30,G80,80.05913,basegep_tuned_A,tuned_candidate,16.69816147711,100,lowest_clean_mean_after_candidate_tuning
Kriging,30,G80,80.05913,kriging_tuned_A,tuned_candidate,17.6232783454215,100,lowest_clean_mean_after_candidate_tuning
MLP,30,G80,80.05913,mlp_tuned_B,tuned_candidate,12.6698348456189,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,30,G80,80.05913,baseline_locked,baseline_locked,6.88496918448689,100,baseline_remained_best_after_tuning
SVR_RBF,30,G80,80.05913,svr_tuned_B,tuned_candidate,20.7513210865641,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,30,G100,100.87925,basegep_tuned_A,tuned_candidate,32.5296473846754,100,lowest_clean_mean_after_candidate_tuning
Kriging,30,G100,100.87925,kriging_tuned_A,tuned_candidate,34.4095452718253,100,lowest_clean_mean_after_candidate_tuning
MLP,30,G100,100.87925,mlp_tuned_B,tuned_candidate,20.9826293690047,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,30,G100,100.87925,baseline_locked,baseline_locked,16.6417457512596,100,baseline_remained_best_after_tuning
SVR_RBF,30,G100,100.87925,svr_tuned_B,tuned_candidate,39.5085154287379,100,lowest_clean_mean_after_candidate_tuning
BaseGEP,30,G118,118.02772,basegep_tuned_B,tuned_candidate,61.8008729689589,100,lowest_clean_mean_after_candidate_tuning
Kriging,30,G118,118.02772,kriging_tuned_A,tuned_candidate,67.6408716856059,100,lowest_clean_mean_after_candidate_tuning
MLP,30,G118,118.02772,mlp_tuned_B,tuned_candidate,30.1329629281787,100,lowest_clean_mean_after_candidate_tuning
RD_GEP,30,G118,118.02772,baseline_locked,baseline_locked,38.5802378714409,100,baseline_remained_best_after_tuning
SVR_RBF,30,G118,118.02772,svr_tuned_B,tuned_candidate,75.8613081835891,100,lowest_clean_mean_after_candidate_tuning
