Model,TrainCount,ErrorThreshold,MaxUsableGap,MaxUsableGapBand
BaseGEP,20,2,NaN,
BaseGEP,20,5,20.5519,G20
BaseGEP,20,10,60.68398,G60
BaseGEP,20,15,60.68398,G60
BaseGEP,30,2,NaN,
BaseGEP,30,5,41.16199,G40
BaseGEP,30,10,60.68398,G60
BaseGEP,30,15,60.68398,G60
Kriging,20,2,NaN,
Kriging,20,5,20.5519,G20
Kriging,20,10,41.16199,G40
Kriging,20,15,60.68398,G60
Kriging,30,2,NaN,
Kriging,30,5,20.5519,G20
Kriging,30,10,60.68398,G60
Kriging,30,15,60.68398,G60
MLP,20,2,NaN,
MLP,20,5,NaN,
MLP,20,10,NaN,
MLP,20,15,20.5519,G20
MLP,30,2,NaN,
MLP,30,5,NaN,
MLP,30,10,20.5519,G20
MLP,30,15,20.5519,G20
RD_GEP,20,2,60.68398,G60
RD_GEP,20,5,60.68398,G60
RD_GEP,20,10,80.05913,G80
RD_GEP,20,15,80.05913,G80
RD_GEP,30,2,41.16199,G40
RD_GEP,30,5,60.68398,G60
RD_GEP,30,10,80.05913,G80
RD_GEP,30,15,80.05913,G80
SVR_RBF,20,2,NaN,
SVR_RBF,20,5,NaN,
SVR_RBF,20,10,41.16199,G40
SVR_RBF,20,15,60.68398,G60
SVR_RBF,30,2,NaN,
SVR_RBF,30,5,20.5519,G20
SVR_RBF,30,10,41.16199,G40
SVR_RBF,30,15,60.68398,G60
