Model,TrainCount,GapBand,ActualGap,Baseline_Clean_HighTest_MAPE_Mean,Tuned_Clean_HighTest_MAPE_Mean,AbsoluteMAPEReduction,RelativeMAPEReductionPercent
BaseGEP,20,G20,20.5519,2.77309064256721,1.92890084946477,0.844189793102444,30.4421997659957
Kriging,20,G20,20.5519,4.5042395281438,3.6077484397248,0.896491088418997,19.9032729679996
MLP,20,G20,20.5519,10.5478804794757,9.87022693595659,0.677653543519128,6.42454704371859
RD_GEP,20,G20,20.5519,0.584455352043871,0.584455352043871,0,0
SVR_RBF,20,G20,20.5519,5.46786229568887,4.5512135856455,0.916648710043363,16.7642976445492
BaseGEP,20,G40,41.16199,5.1075797630759,4.0339225309437,1.0736572321322,21.0208607977885
Kriging,20,G40,41.16199,7.39084789423514,6.12141379994725,1.26943409428788,17.1757572670118
MLP,20,G40,41.16199,21.115894208873,20.889213475142,0.226680733730937,1.07350762174062
RD_GEP,20,G40,41.16199,1.42308291616528,1.42308291616528,0,0
SVR_RBF,20,G40,41.16199,9.62676127721058,7.56600166911586,2.06075960809472,21.4065722495182
BaseGEP,20,G60,60.68398,8.50197660667443,7.36453718294078,1.13743942373365,13.3785292097923
Kriging,20,G60,60.68398,10.7788446634051,9.1001565611098,1.67868810229531,15.5739149669219
MLP,20,G60,60.68398,24.9764999359281,24.9764999359281,0,0
RD_GEP,20,G60,60.68398,1.75149423644174,1.75149423644174,0,0
SVR_RBF,20,G60,60.68398,14.9679151061662,11.3687760456073,3.59913906055895,24.0456939729451
BaseGEP,20,G80,80.05913,18.6782176252454,16.3192230009958,2.35899462424968,12.629655953153
Kriging,20,G80,80.05913,21.733183373175,19.2713539951726,2.46182937800237,11.3275139482832
MLP,20,G80,80.05913,40.013528178109,40.013528178109,0,0
RD_GEP,20,G80,80.05913,7.13514208920606,7.13514208920606,0,0
SVR_RBF,20,G80,80.05913,28.4473966682116,22.6564330612478,5.79096360696377,20.3567436222902
BaseGEP,20,G100,100.87925,36.0556177040025,30.1987169341394,5.85690076986304,16.244072748788
Kriging,20,G100,100.87925,40.1768912614449,36.6888377049002,3.48805355654471,8.68174078936754
MLP,20,G100,100.87925,47.0329259437534,47.0329259437534,0,0
RD_GEP,20,G100,100.87925,17.2975864425373,17.2975864425373,0,0
SVR_RBF,20,G100,100.87925,50.3909932172102,41.8366581756741,8.5543350415361,16.9759206861882
BaseGEP,20,G118,118.02772,68.803548081292,52.8133931487693,15.9901549325228,23.2403057377655
Kriging,20,G118,118.02772,75.9454030936264,70.8361839022934,5.10921919133297,6.72748972710601
MLP,20,G118,118.02772,46.1630292921426,46.1630292921426,0,0
RD_GEP,20,G118,118.02772,41.4628588713093,41.4628588713093,0,0
SVR_RBF,20,G118,118.02772,91.4757182980887,78.8611063279309,12.6146119701578,13.7901207061867
BaseGEP,30,G20,20.5519,2.28534073188327,1.78141510549803,0.503925626385239,22.0503498386418
Kriging,30,G20,20.5519,3.51097369781402,2.93355785926149,0.577415838552529,16.4460314502508
MLP,30,G20,20.5519,8.00027451641398,0.917657548051019,7.08261696836296,88.5296742484488
RD_GEP,30,G20,20.5519,0.626589979339984,0.626589979339984,0,0
SVR_RBF,30,G20,20.5519,4.49673679093475,3.47960606378166,1.01713072715309,22.6193076099893
BaseGEP,30,G40,41.16199,4.39931229383215,3.74520136243896,0.654110931393197,14.8684814285692
Kriging,30,G40,41.16199,6.00042567025704,5.165301214813,0.835124455444039,13.917753528447
MLP,30,G40,41.16199,18.5566393459265,2.35872469104841,16.1979146548781,87.2890524675407
RD_GEP,30,G40,41.16199,1.25483949239845,1.25483949239845,0,0
SVR_RBF,30,G40,41.16199,8.33529676040864,6.21817646778399,2.11712029262465,25.3994591132093
BaseGEP,30,G60,60.68398,7.74586918894207,6.74058037934742,1.00528880959464,12.9783860929357
Kriging,30,G60,60.68398,9.1935171569815,8.03555641799007,1.15796073899143,12.5954052102038
MLP,30,G60,60.68398,43.895032943694,6.0571686042307,37.8378643394633,86.2007881119477
RD_GEP,30,G60,60.68398,2.11564931320677,2.11564931320677,0,0
SVR_RBF,30,G60,60.68398,13.8233732758921,9.84124944668119,3.98212382921086,28.8071786078126
BaseGEP,30,G80,80.05913,17.7460608761028,16.69816147711,1.04789939899281,5.90496903120586
Kriging,30,G80,80.05913,19.3434042875434,17.6232783454215,1.72012594212197,8.89257090712664
MLP,30,G80,80.05913,64.8041758244015,12.6698348456189,52.1343409787826,80.4490456294821
RD_GEP,30,G80,80.05913,6.88496918448689,6.88496918448689,0,0
SVR_RBF,30,G80,80.05913,27.0815769626008,20.7513210865641,6.33025587603675,23.3747683333903
BaseGEP,30,G100,100.87925,35.1202977095004,32.5296473846754,2.59065032482501,7.37650445407305
Kriging,30,G100,100.87925,36.9098705136433,34.4095452718253,2.50032524181797,6.77413712652759
MLP,30,G100,100.87925,78.4866489403249,20.9826293690047,57.5040195713202,73.2659889901043
RD_GEP,30,G100,100.87925,16.6417457512596,16.6417457512596,0,0
SVR_RBF,30,G100,100.87925,48.9220650649318,39.5085154287379,9.41354963619387,19.2419302490599
BaseGEP,30,G118,118.02772,66.7195518358522,61.8008729689589,4.91867886689328,7.37217012337633
Kriging,30,G118,118.02772,71.3791010870609,67.6408716856059,3.738229401455,5.23714833126785
MLP,30,G118,118.02772,81.655564125802,30.1329629281787,51.5226011976233,63.0974774949144
RD_GEP,30,G118,118.02772,38.5802378714409,38.5802378714409,0,0
SVR_RBF,30,G118,118.02772,89.7395384678467,75.8613081835891,13.8782302842576,15.4650118790505
